# 句子练习例句。一行一句： 单词 | 英文句子 | 中文（可空，留空就写 -）
# 这是 _build_sents.py pick 生成的初稿，改完跑 inject。
# 挖空是 inject 时按「单词」那一列自动做的，别在句子里自己写 ___。
abandon | The captain gave the order to abandon the ship. | -
abnormal | Her behavior is abnormal for a young girl. | -
abolish | Many revolutions have aimed to abolish the aristocracy. | -
abortion | The independent candidate took the abortion issue off his platform. | -
abrupt | Tom has an abrupt manner but a kind heart. | -
absence | Please make my excuses for absence to your mother. | -
absorb | Cod fritters are delicious, but absorb lots of fat. | -
abstract | The new theory is too abstract for ordinary people. | -
absurd | You cannot achieve the impossible without attempting the absurd. | -
abundance | There is an abundance of pictures in the book. | -
abundant | Hydrogen is the most abundant element in the universe. | -
abuse | We can only abuse of things that are good. | -
academic | He is unable to concentrate on his academic work. | -
accelerate | Sami's life began to accelerate at an incredible pace. | -
acceptance | His acceptance of the present was regarded as bribery. | -
access | We gained access to the house through the window. | -
accessory | He was arrested as an accessory to the robbery. | -
accident | The girl was badly injured in the traffic accident. | -
accommodate | You will soon accommodate yourself new ways of living. | -
accommodation | The money collected allowed the construction of new accommodation. | -
accomplish | You must persevere before you can accomplish anything great. | -
accord | The story is not in accord with the facts. | -
accordance | Everything should be done in accordance with the rules. | -
account | I do not have an account in these forums. | -
accumulate | Car windows accumulate frost on winter mornings. | -
accurate | For accurate study results questions must be asked verbatim. | -
accuse | Do people ever accuse you of being stuck-up? | -
accustomed | You will soon get accustomed to your new school. | -
achievement | Great difficulties stand in the way of its achievement. | -
acid | The student knows the common name of acetylsalicylic acid. | -
acknowledge | Most would acknowledge that he was a sparkling young man. | -
acquaint | You should acquaint yourself with the local customs. | -
acquaintance | She is more of an acquaintance than a friend. | -
acquire | I managed to acquire two tickets for the concert. | -
activate | You must activate the software before you can use it again. | -
acute | A dog has an acute sense of smell. | -
adapt | We must adapt our plan to these new circumstances. | -
addict | She said that her mother was a drug addict. | -
addition | We had to pay ten thousand yen in addition. | -
additional | This additional work will take about two hours more. | -
adequate | That threw adequate light on his feelings toward her. | -
adhere | Players must adhere to the rules of the game. | -
adjacent | My home town is adjacent to the ocean. | -
adjoin | The two villages adjoin each other. | -
adjust | You have to adjust your glasses to your eyes. | -
administration | We need someone who has some experience in administration. | -
admit | You must admit that you are in the wrong. | -
adolescent | It is said that adolescent friendships do not often last. | -
adopt | Tom was hoping the committee would adopt his proposal. | -
adore | We have a cat, and we all adore him. | -
advantage | He took advantage of my ignorance and deceived me. | -
adverse | Our plane was cancelled because of adverse weather conditions. | -
advocate | I am an advocate of free speech for everybody. | -
aerial | The town was subjected to an aerial attack. | -
aesthetic | I look at it from an aesthetic point of view. | -
affection | The baby transferred its affection to its new mother. | -
affiliate | Why did you decide to affiliate yourself with Company A? | -
affirm | The exploiting classes try to immortalize false worldviews to affirm and strengthen their domination. | -
afflict | My motto is: Comfort the afflicted and afflict the comfortable. | -
aggregate | Strawberries and raspberries are both examples of an aggregate fruit. | -
aggressive | You have to be aggressive to be a success. | -
agony | At the time of her death, she suffers agony. | -
agreeable | Tom has naturally a very agreeable voice and utterance. | -
aid | The tape recorder is a useful aid to teaching. | -
aisle | His seat in the plane was on the aisle. | -
alarm | The alarm sent everyone rushing out of the room. | -
album | This album reminds me of my happy school days. | -
alcohol | The doctor advised him to ease up on alcohol. | -
alert | The hunter was alert to every sound and movement. | -
alien | It had an effect alien from the one intended. | -
alienate | In order to conquer the centre, we'll have to alienate the left wing of the party. | -
allege | I allege that you are wrong, so I don't want to say a word anymore. | -
alleviate | This medicine will alleviate the pain. | -
alliance | There is an important alliance between these two countries. | -
allocate | A committee of experts determines how to allocate the money. | -
alloy | Cast iron is an alloy of iron and carbon. | -
alter | As the artist grows older his paintings may alter. | -
alternate | There are pictures on alternate pages of the book. | -
alternative | You leave me no alternative but alert the authorities. | -
ambiguous | His ambiguous reply made her all the more irritated. | -
ambition | The foundation of a college was her great ambition. | -
ambitious | The ambitious man became intoxicated with his own success. | -
amend | Some people want to amend the constitution. | -
